id,Name,Address,Lat,Long,Number of Ratings,Restaurant Rating,Type of Restaurant,Number of Bookmarks,Price Range,Phone Number,Website,Instagram,Facebook,Timetable,url
134,Pantín Grill,"10 Calle de Echegaray,Madrid,Spain,28014",40.415678,-3.699680,1,4.0,['American'],1,Moderado,+34-914929219,http://pantingrill.com/,http://www.instagram.com/pantingrill,No facebook,"{'Monday': '13:00 - 16:30, 20:00 - 23:30', 'Tuesday': '13:00 - 16:30, 20:00 - 23:30', 'Wednesday': '13:00 - 16:30, 20:00 - 23:30', 'Thursday': '13:00 - 16:30, 20:00 - 23:30', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 23:30'}",https://www.happycow.net/reviews/pantin-grill-madrid-393344
135,Artemisa Sol - Huertas,"Ventura de la Vega, 4,Madrid,Spain,28014",40.416330,-3.698890,57,4.0,['Spanish'],81,Moderado,+34-914295092,http://restaurantesvegetarianosartemisa.com/,No instagram,No facebook,"{'Monday': '13:30 - 16:00, 21:00 - 00:00', 'Tuesday': '13:30 - 16:00, 21:00 - 00:00', 'Wednesday': '13:30 - 16:00, 21:00 - 00:00', 'Thursday': '13:30 - 16:00, 21:00 - 00:00', 'Friday': '13:30 - 16:00, 21:00 - 00:00', 'Saturday': '13:30 - 16:00, 21:00 - 00:00', 'Sunday': '13:30 - 16:00, 21:00 - 00:00'}",https://www.happycow.net/reviews/artemisa-sol-madrid-8099
136,Ginkgo ,"Pl de España, 3,Madrid,Spain,28008",40.422832,-3.711445,1,4.0,"['International', 'Fusion']",0,Caro,+34-915955512,https://www.ginkgoskybarmadrid.com/?utm_source=google&utm_medium=organic&utm_campaign=knowledge-graph,http://www.instagram.com/ginkgoskybar/,http://facebook.com/ginkgoskybar/,"{'Monday': '13:00 - 01:00', 'Tuesday': '13:00 - 01:00', 'Wednesday': '13:00 - 01:00', 'Thursday': '13:00 - 01:00', 'Friday': '13:00 - 02:30', 'Saturday': '13:00 - 02:30', 'Sunday': '13:00 - 01:00'}",https://www.happycow.net/reviews/ginkgo-madrid-408585
137,100 Montaditos - Centro,"Calle del Príncipe, 18,Madrid,Spain,28012",40.415242,-3.700343,2,3.0,['Spanish'],4,Moderado,+34-915328791,https://spain.100montaditos.com/,http://www.instagram.com/100montaditos,http://facebook.com/100MontaditosSpain,"{'Monday': '10:00 - 00:00', 'Tuesday': '10:00 - 00:00', 'Wednesday': '10:00 - 00:00', 'Thursday': '10:00 - 00:00', 'Friday': '10:00 - 01:00', 'Saturday': '12:00 - 01:00', 'Sunday': '12:00 - 00:00'}",https://www.happycow.net/reviews/one-hundred-montaditos-madrid-367450
138,Zuccaru,"Calle de Vergara, 16,Madrid,Spain,28013",40.417230,-3.711617,9,4.5,[],12,No price range,+34-639330801,http://www.zuccaru.es/,No instagram,No facebook,"{'Monday': '10:00 - 18:00', 'Tuesday': '10:00 - 18:00', 'Wednesday': 'Closed', 'Thursday': '10:00 - 18:00', 'Friday': '10:00 - 18:00', 'Saturday': '11:00 - 20:00', 'Sunday': '11:00 - 20:00'}",https://www.happycow.net/reviews/zuccaru-madrid-98565
139,Persa Casera,"C de San Vicente Ferrer, 23,Madrid,Spain,28004",40.425612,-3.703108,3,4.0,['Middle Eastern'],5,Moderado,+34-657232482,https://ten-ten-pie-comida-persa-casera-shahla.business.site/,No instagram,http://facebook.com/comidapersashahla,"{'Monday': '13:00 - 17:00, 20:00 - 01:00', 'Tuesday': '13:00 - 17:00, 20:00 - 01:00', 'Wednesday': '13:00 - 17:00, 20:00 - 01:00', 'Thursday': '13:00 - 17:00, 20:00 - 01:00', 'Friday': '13:00 - 17:00, 20:00 - 01:00', 'Saturday': '13:00 - 17:00, 20:00 - 01:00', 'Sunday': '13:00 - 17:00, 20:00 - 01:00'}",https://www.happycow.net/reviews/persa-casera-madrid-254017
140,La Cocina de mi Vecina,"Corre. Alta de San Pablo, 15,Madrid,Spain,28004",40.425347,-3.701996,1,4.0,['European'],0,No price range,+34-910252617,http://www.lacocinademivecina.com/,http://www.instagram.com/lacocinademivecina,http://facebook.com/lacocinademivecina/,"{'Monday': '10:00 - 22:00', 'Tuesday': '10:00 - 22:00', 'Wednesday': '10:00 - 22:00', 'Thursday': '10:00 - 22:00', 'Friday': '10:00 - 22:00', 'Saturday': '10:00 - 22:00', 'Sunday': '10:00 - 22:00'}",https://www.happycow.net/reviews/la-cocina-de-mi-vecina-madrid-409256
141,DimSum Market,"C/ Príncipe, 19 (at off Plaza Santa Ana),Madrid,Spain,28012",40.415257,-3.700218,18,3.5,"['Chinese', 'Asian']",63,Barato,+34-911569288,http://www.dimsummarket.es/,No instagram,http://facebook.com/dimsummarket,"{'Monday': '12:30 - 00:00', 'Tuesday': '12:30 - 00:00', 'Wednesday': '12:30 - 00:00', 'Thursday': '12:30 - 00:00', 'Friday': '12:30 - 00:00', 'Saturday': '12:30 - 00:00', 'Sunday': '12:30 - 00:00'}",https://www.happycow.net/reviews/dimsum-market-madrid-73205
142,Babel Restaurante,"23 Calle de la Libertad,Madrid,Spain,28004",40.421529,-3.697470,1,3.0,"['Mediterranean', 'European', 'Spanish']",4,Moderado,+34-915216137,No website,http://www.instagram.com/babelrest,http://facebook.com/babelrest,"{'Monday': '13:00 - 16:00, 20:00 - 23:30', 'Tuesday': '13:00 - 16:00, 20:00 - 23:30', 'Wednesday': '13:00 - 16:00, 20:00 - 23:30', 'Thursday': '13:00 - 16:00, 20:00 - 23:30', 'Friday': '13:00 - 16:00, 20:00 - 00:00', 'Saturday': '13:00 - 16:00, 20:00 - 00:00', 'Sunday': '13:00 - 16:00, 20:00 - 23:30'}",https://www.happycow.net/reviews/babel-restaurante-madrid-323562
143,Para Veganos VIP,"San Vicente Ferrer 35,Madrid,Spain,28004",40.425794,-3.704575,8,5.0,[],13,No price range,No phone number,https://paraveganosvip.com/,No instagram,No facebook,{'Horario': 'No hay horario'},https://www.happycow.net/reviews/para-veganos-vip-madrid-142853
144,J & J Books and Coffee - Maybe closed,"Calle del Espíritu Santo, 47,Madrid,Spain,28004",40.425647,-3.706701,2,4.0,"['International', 'European']",18,Barato,+34-915218576,https://jandjbookscoffee.weebly.com/,http://www.instagram.com/jjbookscoffee,No facebook,"{'Monday': '16:00 - 22:00', 'Tuesday': '16:00 - 22:00', 'Wednesday': '16:00 - 22:00', 'Thursday': '16:00 - 22:00', 'Friday': '12:00 - 00:00', 'Saturday': '11:00 - 23:30', 'Sunday': '11:00 - 17:00'}",https://www.happycow.net/reviews/j-j-books-and-coffee-madrid-222497
145,Indian Aroma,"C de Ventura de la Vega, 6,Madrid,Spain,28014",40.415959,-3.699137,11,4.0,['Indian'],28,Moderado,+34-913692333,http://www.restauranteindianaroma.com/,No instagram,http://facebook.com/Indian-Aroma-169897859717020,"{'Monday': '13:00 - 16:00, 20:00 - 00:30', 'Tuesday': '13:00 - 16:00, 20:00 - 00:30', 'Wednesday': '13:00 - 16:00, 20:00 - 00:30', 'Thursday': '13:00 - 16:00, 20:00 - 00:30', 'Friday': '13:00 - 16:00, 20:00 - 00:30', 'Saturday': '13:00 - 16:00, 20:00 - 00:30', 'Sunday': '13:00 - 16:00, 20:00 - 00:30'}",https://www.happycow.net/reviews/indian-aroma-madrid-250963
146,44 Sushi Bar,"Calle del Marqués de Valdeiglesias, 8,Madrid,Spain,28004",40.419864,-3.697120,1,3.0,"['Japanese', 'Asian']",1,Moderado,+34-810524441,No website,http://www.instagram.com/44sushibar,http://facebook.com/44sushibar,"{'Monday': '12:30 - 16:30, 20:00 - 23:30', 'Tuesday': '12:30 - 16:30, 20:00 - 23:30', 'Wednesday': '12:30 - 16:30, 20:00 - 23:30', 'Thursday': '12:30 - 16:30, 20:00 - 00:00', 'Friday': '12:30 - 17:00, 20:00 - 00:30', 'Saturday': '12:30 - 17:00, 20:00 - 00:30', 'Sunday': '12:30 - 17:00, 20:00 - 23:30'}",https://www.happycow.net/reviews/forty-four-sushi-bar-madrid-357924
147,Arepa Mia,"28 Calle de San Vicente Ferrer,Madrid,Spain,28004",40.425767,-3.703532,1,4.0,['Latin'],4,Moderado,No phone number,No website,No instagram,No facebook,"{'Monday': 'Closed', 'Tuesday': '13:00 - 16:00, 19:00 - 00:00', 'Wednesday': '13:00 - 16:00, 19:00 - 00:00', 'Thursday': '13:00 - 16:00, 19:00 - 00:00', 'Friday': '13:00 - 16:00, 19:00 - 00:00', 'Saturday': '13:00 - 16:00, 19:00 - 00:00', 'Sunday': '13:00 - 16:00, 19:00 - 00:00'}",https://www.happycow.net/reviews/arepa-mia-madrid-388971
148,Okashi Sanda,"Calle de San Vicente Ferrer, 22,Madrid,Spain,28004",40.425738,-3.703267,19,4.0,"['Japanese', 'Asian']",39,Moderado,+34-913654402,http://www.okashisanda.com/,No instagram,http://facebook.com/okashi.sanda,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': 'Closed', 'Thursday': '20:00 - 23:00', 'Friday': '13:00 - 16:00, 20:00 - 23:00', 'Saturday': '13:00 - 16:00, 20:00 - 23:00', 'Sunday': '13:00 - 16:00'}",https://www.happycow.net/reviews/okashi-sanda-madrid-228467
149,PerrisBurgers,"Calle San Vicente Ferrer 38,Madrid,Spain",40.425867,-3.704429,0,0,"['American', 'Western']",6,Barato,No phone number,No website,No instagram,No facebook,"{'Monday': '22:00 - 03:00', 'Tuesday': 'Closed', 'Wednesday': '22:00 - 03:00', 'Thursday': '22:00 - 03:00', 'Friday': '22:00 - 06:00', 'Saturday': '22:00 - 06:00', 'Sunday': '22:00 - 03:00'}",https://www.happycow.net/reviews/perrisburgers-madrid-90420
150,Häagen-Dazs,"Calle de Bailén, 15,Madrid,Spain,28013",40.419993,-3.712764,0,0,['American'],0,No price range,+34-910526031,https://www.haagen-dazs.es/shop/madrid/plaza-de-oriente,No instagram,http://facebook.com/HaagenDazsPlazadeOriente,"{'Monday': '10:00 - 01:00', 'Tuesday': '10:00 - 01:00', 'Wednesday': '10:00 - 01:00', 'Thursday': '10:00 - 01:00', 'Friday': '10:00 - 01:30', 'Saturday': '10:00 - 01:30', 'Sunday': '10:00 - 01:00'}",https://www.happycow.net/reviews/haeagen-dazs-madrid-306790
151,Superchulo,"Calle de Fuencarral, 74,Madrid,Spain,28004",40.425075,-3.700721,92,4.5,"['Western', 'Mediterranean', 'Spanish']",161,Barato,+34-910232706,http://www.superchulomadrid.com/,No instagram,No facebook,"{'Monday': '10:00 - 00:00', 'Tuesday': '10:00 - 00:00', 'Wednesday': 'Closed', 'Thursday': '10:00 - 00:00', 'Friday': '10:00 - 00:00', 'Saturday': '10:00 - 00:00', 'Sunday': '10:00 - 00:00'}",https://www.happycow.net/reviews/superchulo-madrid-97861
152,The Quick Greek," C de San Bernardo, 53,Madrid,Spain,28015",40.425702,-3.707394,0,0,['Mediterranean'],3,Barato,+34-913309499,https://thequickgreek.com/,http://www.instagram.com/thequickgreek,http://facebook.com/QuickGreek,"{'Monday': '12:30 - 16:00, 19:00 - 23:00', 'Tuesday': '12:30 - 16:00, 19:00 - 23:00', 'Wednesday': '12:30 - 16:00, 19:00 - 23:00', 'Thursday': '12:30 - 16:00, 19:00 - 23:00', 'Friday': '12:30 - 00:00', 'Saturday': '12:30 - 00:00', 'Sunday': '12:30 - 00:00'}",https://www.happycow.net/reviews/the-quick-greek-madrid-280944
153,Pizzi & Dixie,"Calle San Vicente Ferrer 16,Madrid,Spain,28004",40.425836,-3.702809,195,4.5,"['Italian', 'European', 'Spanish']",379,Moderado,+34-912659887,http://pizzidixie.com/,No instagram,http://facebook.com/Pizzi-Dixie-137393603469448,"{'Monday': '13:30 - 16:00, 20:30 - 23:30', 'Tuesday': '13:30 - 16:00, 20:30 - 23:30', 'Wednesday': '13:30 - 16:00, 20:30 - 23:30', 'Thursday': '13:30 - 16:00, 20:30 - 23:30', 'Friday': '13:30 - 16:00, 20:30 - 00:00', 'Saturday': '13:30 - 16:00, 20:30 - 00:00', 'Sunday': '13:30 - 16:00, 17:00 - 18:00'}",https://www.happycow.net/reviews/pizzi-dixie-madrid-92445
154,Secrets Chueca,"C. de la Libertad, 26,Madrid,Spain,28004",40.421900,-3.697278,1,4.0,"['International', 'Western', 'Mediterranean']",0,Moderado,No phone number,https://secretsbyfarga.com/,http://www.instagram.com/secretsbyfarga/,No facebook,"{'Monday': '09:30 - 23:30', 'Tuesday': '09:30 - 23:30', 'Wednesday': '09:30 - 23:30', 'Thursday': '09:30 - 23:30', 'Friday': '09:30 - 23:30', 'Saturday': '10:00 - 00:30', 'Sunday': '09:30 - 00:00'}",https://www.happycow.net/reviews/secrets-chueca-madrid-393835
155,La Rollerie - Atocha,"Calle de Atocha, 20,Madrid,Spain",40.413936,-3.703105,11,3.5,['European'],26,Barato,+34-914204675,http://larollerie.com/,No instagram,No facebook,"{'Monday': '08:00 - 22:30', 'Tuesday': '08:00 - 22:30', 'Wednesday': '08:00 - 22:30', 'Thursday': '08:00 - 22:30', 'Friday': '08:00 - 22:30', 'Saturday': '08:00 - 22:30', 'Sunday': '08:00 - 22:30'}",https://www.happycow.net/reviews/la-rollerie-madrid-70365
156,Coco Bar - Tirso de Molina,"Calle del Conde de Romanones, 3 (at  Generación X),Madrid,Spain,28012",40.413759,-3.704579,1,4.0,"['American', 'International']",10,Barato,+34-911593339,https://www.generacionx.es/inicio,http://www.instagram.com/GenXTirso,http://facebook.com/GenXTirso,"{'Monday': '10:30 - 20:30', 'Tuesday': '10:30 - 20:30', 'Wednesday': '10:30 - 20:30', 'Thursday': '10:30 - 21:00', 'Friday': '10:30 - 23:00', 'Saturday': '10:30 - 21:00', 'Sunday': '11:30 - 20:30'}",https://www.happycow.net/reviews/coco-bar-tirso-de-molina-madrid-329300
157,Le.cha - 乐茶,"23 Calle de Toledo,Madrid,Spain,28005",40.414059,-3.707373,1,5.0,[],3,No price range,+34-611050860,No website,No instagram,http://facebook.com/lecha,"{'Monday': '12:00 - 21:30', 'Tuesday': '12:00 - 21:30', 'Wednesday': '12:00 - 21:30', 'Thursday': '12:00 - 21:30', 'Friday': '12:00 - 21:30', 'Saturday': '12:00 - 21:30', 'Sunday': '12:00 - 21:30'}",https://www.happycow.net/reviews/le-cha-madrid-308442
158,Four ,"C. de Calderón de la Barca, 8, Centro,Madrid,Spain,28013",40.416017,-3.711153,1,4.0,['Spanish'],1,No price range,+34-622571608,https://fourmadrid.com/,http://www.instagram.com/four.madrid/?hl=en,No facebook,"{'Monday': '10:00 - 18:00', 'Tuesday': 'Closed', 'Wednesday': '10:00 - 18:00', 'Thursday': '10:00 - 18:00', 'Friday': '10:00 - 18:00', 'Saturday': '10:00 - 18:00', 'Sunday': '10:00 - 18:00'}",https://www.happycow.net/reviews/four-madrid-405304
159,Vegaviana,"Calle Pelayo, 35,Madrid,Spain",40.423410,-3.698080,20,3.5,"['Mediterranean', 'Spanish']",14,Moderado,+34-913080381,No website,No instagram,No facebook,"{'Monday': 'Closed', 'Tuesday': '13:30 - 16:00, 21:00 - 23:30', 'Wednesday': '13:30 - 16:00, 21:00 - 23:30', 'Thursday': '13:30 - 16:00, 21:00 - 23:30', 'Friday': '13:30 - 16:00, 21:00 - 00:00', 'Saturday': '13:30 - 16:00, 21:00 - 00:00', 'Sunday': '13:30 - 16:00'}",https://www.happycow.net/reviews/vegaviana-madrid-6038
160,Federal,"Plaza del Conde de Barajas,Madrid,Spain,28005",40.414406,-3.708725,10,3.5,"['European', 'Spanish']",24,Barato,+34-918526848,http://federalcafe.es/madrid-condedebarajas,No instagram,http://facebook.com/federalcafemadrid,"{'Monday': '09:00 - 00:00', 'Tuesday': '09:00 - 00:00', 'Wednesday': '09:00 - 00:00', 'Thursday': '09:00 - 00:00', 'Friday': '09:00 - 01:00', 'Saturday': '09:00 - 01:00', 'Sunday': '09:00 - 17:30'}",https://www.happycow.net/reviews/federal-madrid-152983
161,Barganzo,"Calle Colmenares, 13,Madrid,Spain,28004",40.421073,-3.696813,37,5.0,"['Mediterranean', 'Middle Eastern']",48,Moderado,+34-910443233,http://www.barganzo.es/,No instagram,No facebook,"{'Monday': '13:00 - 16:30, 20:00 - 23:00', 'Tuesday': '13:00 - 16:30, 20:00 - 23:00', 'Wednesday': '13:00 - 16:30, 20:00 - 23:00', 'Thursday': '13:00 - 16:30, 20:00 - 23:00', 'Friday': '13:00 - 16:30', 'Saturday': 'Closed', 'Sunday': '13:00 - 17:30, 20:00 - 23:00'}",https://www.happycow.net/reviews/barganzo-madrid-194084
162,Restaurant Sublime World,"C. de Concepción Jerónima, 28,Madrid,Spain,28012",40.413887,-3.707082,1,3.0,['American'],6,Moderado,+34-919417153,https://www.sublimeworldrestaurant.com/,http://www.instagram.com/restaurantsublimeworld,http://facebook.com/restaurantsublimeworld,"{'Monday': '13:00 - 16:00, 20:00 - 00:00', 'Tuesday': 'Closed', 'Wednesday': '13:00 - 16:00, 20:00 - 00:00', 'Thursday': '13:00 - 16:00, 20:00 - 00:00', 'Friday': '13:00 - 17:00, 20:00 - 00:30', 'Saturday': '13:00 - 17:00, 19:30 - 01:00', 'Sunday': '13:00 - 17:00, 19:30 - 00:00'}",https://www.happycow.net/reviews/restaurant-sublime-world-madrid-283205
