id,Name,Address,Lat,Long,Number of Ratings,Restaurant Rating,Type of Restaurant,Number of Bookmarks,Price Range,Phone Number,Website,Instagram,Facebook,Timetable,url
303,Bontá Tebú,"Santa Isabel 5,Madrid,Spain",40.411590,-3.698675,0,0,"['Western', 'Spanish']",1,Moderado,No phone number,No website,http://www.instagram.com/bontatebu,No facebook,"{'Monday': '10:00 - 15:00, 17:00 - 22:00', 'Tuesday': '10:00 - 15:00, 17:00 - 22:00', 'Wednesday': '10:00 - 15:00, 17:00 - 22:00', 'Thursday': '10:00 - 15:00, 17:00 - 22:00', 'Friday': '10:00 - 15:00, 17:00 - 22:00', 'Saturday': '10:00 - 15:00, 17:00 - 22:00', 'Sunday': 'Closed'}","https://www.happycow.net/reviews/bonta-tebu-madrid-233996"
304,Cafés Tornasol,"C. de Sta. Isabel, Nº5, Planta Baja, Centro (at San Anton Market), Madrid, Spain, 28012",40.411594,-3.698656,1.0,5.0,[],2,No price range,+34-600435454,https://www.cafestornasol.es/,http://www.instagram.com/cafestornasol/,No facebook,"{'Monday': '09:00 - 20:00', 'Tuesday': '09:00 - 20:00', 'Wednesday': '09:00 - 20:00', 'Thursday': '09:00 - 20:00', 'Friday': '09:00 - 20:00', 'Saturday': '09:00 - 18:00', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/cafes-tornasol-madrid-407497
305,COFI.,"C. de Rodríguez San Pedro, 2, Madrid, Spain, 28015",40.429312,-3.707688,1.0,4.0,['Western'],0,No price range,+34-636669973,https://cofiweb.es/,http://www.instagram.com/cofi.mad,No facebook,"{'Monday': '08:30 - 20:30', 'Tuesday': '08:30 - 20:30', 'Wednesday': '08:30 - 20:30', 'Thursday': '08:30 - 20:30', 'Friday': '08:30 - 20:30', 'Saturday': '09:00 - 20:30', 'Sunday': '09:00 - 20:30'}",https://www.happycow.net/reviews/cofi-madrid-422725
306,El Mundo en Una Arepa,"Mercado de la Cebada, Madrid, Spain, 28005",40.411161,-3.710118,0.0,0.0,"['Mediterranean', 'Caribbean', 'Fusion', 'Latin']",4,Barato,+34-648242500,http://elmundoenunaarepa.com/,No instagram,http://facebook.com/El-Mundo-en-Una-Arepa-136387256934769,"{'Monday': '10:00 - 14:00, 17:00 - 21:00', 'Tuesday': '10:00 - 14:00, 17:00 - 21:00', 'Wednesday': '10:00 - 14:00, 17:00 - 21:00', 'Thursday': '10:00 - 14:00, 17:00 - 21:00', 'Friday': '10:00 - 14:00, 17:00 - 21:00', 'Saturday': '10:00 - 18:00', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/el-mundo-en-una-arepa-madrid-182417
307,La Alegria de la Huerta,"C/ Dos Hermanas, 22, Madrid, Spain, 28012",40.41033,-3.706162,9.0,4.0,"['Mediterranean', 'Spanish']",26,Barato,+34-910176583,No website,No instagram,http://facebook.com/laalegriadelahuerta22/,"{'Monday': '12:30 - 17:00', 'Tuesday': '12:30 - 17:00', 'Wednesday': 'Closed', 'Thursday': '12:30 - 23:00', 'Friday': '12:30 - 17:00', 'Saturday': '12:30 - 17:00', 'Sunday': '12:30 - 17:00'}",https://www.happycow.net/reviews/la-alegra-de-la-huerta-madrid-105759
308,Punto Vegano,"Calle Luisa Fernanda 27, Madrid, Spain, 28008",40.424834,-3.715743,101.0,4.5,"['Italian', 'Mediterranean']",143,Moderado,+34-912940840,No website,http://www.instagram.com/puntovegano,http://facebook.com/puntovegano,"{'Monday': 'Closed', 'Tuesday': '14:00 - 16:30', 'Wednesday': '14:00 - 16:30', 'Thursday': '14:00 - 16:30, 20:30 - 23:00', 'Friday': '14:00 - 16:30, 20:30 - 23:30', 'Saturday': '13:30 - 16:30, 20:30 - 23:30', 'Sunday': '13:30 - 16:30'}",https://www.happycow.net/reviews/punto-vegano-madrid-55417
309,The Fix Specialty Coffee,"C/ Luisa Fernanda, 15, Madrid, Spain, 28008",40.425762,-3.714935,5.0,4.0,['European'],8,Moderado,+34-911266683,No website,No instagram,http://facebook.com/thefixmadrid,"{'Monday': '08:00 - 19:00', 'Tuesday': '08:00 - 19:00', 'Wednesday': 'Closed', 'Thursday': '08:00 - 19:00', 'Friday': '08:00 - 19:00', 'Saturday': '09:00 - 19:00', 'Sunday': '09:00 - 19:00'}",https://www.happycow.net/reviews/the-fix-specialty-coffee-madrid-175778
310,Gelato Lab,"Mercado de la Cebada, local 173/176, planta alta, Madrid, Spain 28005, Madrid, Spain, 28005",40.410991,-3.709877,1.0,5.0,['Italian'],1,No price range,+34-616294325,https://www.mercado47.com/es-ES/gelatolab,http://www.instagram.com/@gelatolabmadrid,http://facebook.com/gelatolabmadrid/,"{'Monday': '10:00 - 14:00, 17:30 - 20:30', 'Tuesday': '09:00 - 14:00, 17:30 - 20:30', 'Wednesday': '09:00 - 14:00, 17:30 - 20:30', 'Thursday': '09:00 - 14:00, 17:30 - 20:30', 'Friday': '09:00 - 14:00, 17:30 - 20:30', 'Saturday': '09:00 - 18:00', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/gelato-lab-madrid-421276
311,Mama Elba,"C/Ruda, 15, Madrid, Spain, 28005",40.410508,-3.708205,16.0,4.5,[],23,No price range,+34-910565392,http://www.mamaelba.com/,No instagram,http://facebook.com/MamaElbaHeladeria,"{'Monday': '12:00 - 19:00', 'Tuesday': '12:00 - 19:00', 'Wednesday': '12:00 - 19:00', 'Thursday': '12:00 - 19:00', 'Friday': '12:00 - 20:00', 'Saturday': '11:00 - 20:00', 'Sunday': '11:00 - 20:00'}",https://www.happycow.net/reviews/mama-elba-madrid-97336
312,Rebel Plant - Cloud Kitchen,"Calle de Moratin, 25,Madrid,Spain",40.412465,-3.696633,0,0,"['International', 'Asian', 'Fusion']",4,No price range,No phone number,https://www.ubereats.com/es-en/store/rebel-plant/-Pem1A2kR2ChsNMuHDm3VQ,No instagram,No facebook,"{'Monday': '20:00 - 23:30', 'Tuesday': '20:00 - 23:30', 'Wednesday': '20:00 - 23:30', 'Thursday': '20:00 - 23:30', 'Friday': '20:00 - 23:30', 'Saturday': '20:00 - 23:30', 'Sunday': 'Closed'}","https://www.happycow.net/reviews/rebel-plant-cloud-kitchen-madrid-311327"
