id,Name,Address,Lat,Long,Number of Ratings,Restaurant Rating,Type of Restaurant,Number of Bookmarks,Price Range,Phone Number,Website,Instagram,Facebook,Timetable,url
313,Mamúa,"Plaza de Cascorro, 7, Madrid, Spain, 28005",40.410303,-3.707031,4.0,4.0,['Spanish'],2,Moderado,+34-910139711,https://www.mamua.es/,http://www.instagram.com/mamua_madrid,http://facebook.com/Mam%C3%BAa-Caf%C3%A9-Bar-137067196958589,"{'Monday': '10:00 - 00:30', 'Tuesday': '10:00 - 00:30', 'Wednesday': '10:00 - 00:30', 'Thursday': '10:00 - 00:30', 'Friday': '10:00 - 01:00', 'Saturday': '10:00 - 01:00', 'Sunday': '10:00 - 00:30'}",https://www.happycow.net/reviews/mamua-madrid-280063
314,Bibì e Bibò - Calle de Fuencalle,"Calle de Fuencarral, 111, Madrid, Spain, 28010",40.429567,-3.702845,1.0,5.0,[],2,No price range,+34-914272290,http://www.bibiebibo.es/,http://www.instagram.com/bibiebibogelati,No facebook,"{'Monday': '15:00 - 21:00', 'Tuesday': '15:00 - 21:00', 'Wednesday': '15:00 - 21:00', 'Thursday': '15:00 - 21:00', 'Friday': '15:00 - 22:00', 'Saturday': '12:00 - 22:00', 'Sunday': '12:00 - 21:00'}",https://www.happycow.net/reviews/bibi-e-bibo-madrid-406893
315,La China Mandarina,"Plaza de Cascorro, 17, Madrid, Spain, 28005",40.410347,-3.707468,2.0,4.0,"['International', 'Spanish']",2,Moderado,+34-910282541,No website,No instagram,http://facebook.com/LaChinaMandarinaMadrid/,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '12:00 - 00:00', 'Thursday': '12:00 - 00:00', 'Friday': '12:00 - 01:00', 'Saturday': '12:00 - 01:00', 'Sunday': '12:00 - 00:00'}",https://www.happycow.net/reviews/la-china-mandarina-madrid-205909
316,Ruda Café,"C. de la Ruda, 11, Madrid, Spain, 28005",40.410426,-3.70799,4.0,4.5,"['International', 'European']",2,No price range,+34-918321930,https://rudacafe.com/,http://www.instagram.com/rudacafe,http://facebook.com/rudacafemadrid,"{'Monday': '08:00 - 20:00', 'Tuesday': '08:00 - 20:00', 'Wednesday': '08:00 - 20:00', 'Thursday': '08:00 - 20:00', 'Friday': '08:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'}",https://www.happycow.net/reviews/ruda-cafe-madrid-359646
317,Café Pavón,"Calle de los Embajadores, 9, Madrid, Spain, 28012",40.410165,-3.706313,2.0,2.5,['Spanish'],0,No price range,+34-912190682,No website,http://www.instagram.com/cafepavon,http://facebook.com/cafepavonmadrid,"{'Monday': '08:00 - 01:00', 'Tuesday': '10:00 - 01:00', 'Wednesday': '10:00 - 01:00', 'Thursday': '10:00 - 01:00', 'Friday': '10:00 - 01:00', 'Saturday': '10:00 - 01:00', 'Sunday': '10:00 - 01:00'}",https://www.happycow.net/reviews/cafe-pavon-madrid-301251
318,Egeo Suvlakeria Griega - Lavapiés,"17 Calle de San Carlos, Madrid, Spain, 28012",40.410504,-3.701112,4.0,4.0,"['International', 'European', 'Middle Eastern']",7,Barato,+34-918264644,https://www.egeosuvlakeria.com/,http://www.instagram.com/egeosuvlakeriagriega,http://facebook.com/egeosuvlakeriagriega,"{'Monday': '13:30 - 17:00, 19:30 - 23:30', 'Tuesday': '13:30 - 17:00, 19:30 - 23:30', 'Wednesday': '13:30 - 17:00, 19:30 - 23:30', 'Thursday': '13:30 - 17:00, 19:30 - 23:30', 'Friday': '13:30 - 01:00', 'Saturday': '13:30 - 01:00', 'Sunday': '13:30 - 17:00, 19:00 - 23:30'}",https://www.happycow.net/reviews/egeo-suvlakeria-griega-madrid-284774
319,Bodegas Lo Maximo,"C. de San Carlos, 6, Centro, Madrid, Spain, 28012",40.410343,-3.701754,1.0,3.0,"['Western', 'Mediterranean', 'Spanish']",2,Moderado,+34-915390070,No website,No instagram,http://facebook.com/BodegasLoMaximo,"{'Monday': '19:00 - 02:00', 'Tuesday': '19:00 - 02:00', 'Wednesday': '19:00 - 02:00', 'Thursday': '19:00 - 02:00', 'Friday': '19:00 - 02:30', 'Saturday': '13:00 - 02:30', 'Sunday': '13:00 - 01:00'}",https://www.happycow.net/reviews/bodegas-lo-maximo-madrid-399262
320,Café del Art,"Pl. de Cascorro, 9, Madrid, Spain, 28005",40.41015,-3.707065,1.0,4.0,['Spanish'],0,No price range,+34-915289211,No website,http://www.instagram.com/Cafedelart.es,http://facebook.com/cafedelart/,"{'Monday': '09:00 - 22:30', 'Tuesday': '09:00 - 22:30', 'Wednesday': '09:00 - 22:30', 'Thursday': '09:00 - 22:30', 'Friday': '09:00 - 22:30', 'Saturday': '09:00 - 22:30', 'Sunday': '09:00 - 22:30'}",https://www.happycow.net/reviews/cafe-del-art-madrid-408407
321,GoodNews Santa Bárbara,"20 Plaza de Santa Bárbara, Madrid, Spain, 28004",40.427449,-3.696408,1.0,5.0,[],3,No price range,+34-682401222,https://goodnews.coffee/en-fr,http://www.instagram.com/goodnewscoffee,No facebook,"{'Monday': '07:00 - 20:00', 'Tuesday': '07:00 - 20:00', 'Wednesday': '07:00 - 20:00', 'Thursday': '07:00 - 20:00', 'Friday': '07:00 - 20:00', 'Saturday': '08:30 - 19:30', 'Sunday': '08:30 - 19:30'}",https://www.happycow.net/reviews/goodnews-santa-barbara-madrid-318761
322,Tierra Burrito Bar - Debod,"C. de Martín de los Heros, 34, Madrid, Spain, 28008",40.426167,-3.714987,1.0,3.0,"['American', 'Mexican']",3,Moderado,+34-910053777,http://www.tierraburritos.com/,No instagram,http://facebook.com/TierraBurritoBar,"{'Monday': '12:00 - 23:30', 'Tuesday': '12:00 - 23:30', 'Wednesday': '12:00 - 23:30', 'Thursday': '12:00 - 23:30', 'Friday': '12:00 - 23:30', 'Saturday': '12:00 - 23:30', 'Sunday': '12:00 - 23:30'}",https://www.happycow.net/reviews/tierra-burrito-bar-madrid-302644
323,GALLETOWN,"41 Calle de Santa María, Madrid, Spain, 28014",40.412734,-3.695864,5.0,4.0,[],7,No price range,No phone number,No website,http://www.instagram.com/@galletownmadrid,http://facebook.com/people/Galletown-Madrid/100077984757168,"{'Monday': 'Closed', 'Tuesday': '10:30 - 19:30', 'Wednesday': '10:30 - 19:30', 'Thursday': '10:30 - 19:30', 'Friday': '10:30 - 19:30', 'Saturday': '10:30 - 19:30', 'Sunday': '10:30 - 14:30'}",https://www.happycow.net/reviews/galletown-madrid-284192
324,Haruko,"Calle de los Embajadores, 14, Madrid, Spain, 28012",40.409991,-3.706468,8.0,3.5,[],14,No price range,+34-634852797,https://agradocafe.com/,http://www.instagram.com/harukocoffeeshop,http://facebook.com/Agrado-Caf%C3%A9-103707811422672,"{'Monday': '09:00 - 20:00', 'Tuesday': '09:00 - 20:00', 'Wednesday': '09:00 - 20:00', 'Thursday': '09:00 - 20:00', 'Friday': '09:00 - 20:00', 'Saturday': '10:00 - 20:00', 'Sunday': '10:00 - 18:00'}",https://www.happycow.net/reviews/haruko-madrid-287894
325,Dakar Senegalese Restaurant,"C. del Ave María, 32, Centro, Madrid, Spain, 28012",40.410347,-3.701044,1.0,4.0,['African'],0,Barato,+34-632029934,No website,http://www.instagram.com/restaurantedakar,No facebook,"{'Monday': '10:00 - 22:30', 'Tuesday': '10:00 - 22:30', 'Wednesday': '10:00 - 22:30', 'Thursday': '10:00 - 22:30', 'Friday': '10:00 - 22:30', 'Saturday': '10:00 - 00:30', 'Sunday': '10:00 - 22:30'}",https://www.happycow.net/reviews/dakar-senegalese-restaurant-madrid-410532
326,Bresca,"Calle de los Tres Peces, 20,Madrid,Spain",40.410689,-3.699512,15,4.0,"['Italian', 'Spanish']",23,Moderado,+34-918191717,http://bresca.es/,No instagram,http://facebook.com/brescataberna,"{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 00:00'}","https://www.happycow.net/reviews/bresca-madrid-262175"
327,Sani Sapori,"Calle Lavapies, 31, Madrid, Spain, 28012",40.410002,-3.702273,9.0,4.5,[],19,No price range,+34-915308996,http://www.sanisapori.es/,No instagram,http://facebook.com/FansSaniSapori,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '15:30 - 22:30', 'Thursday': '15:30 - 22:30', 'Friday': '12:30 - 23:00', 'Saturday': '11:00 - 23:00', 'Sunday': '11:00 - 22:00'}",https://www.happycow.net/reviews/sani-sapori-madrid-82885
328,Mafrens,"Pl. de Cascorro, 12, Madrid, Spain, 28005",40.409996,-3.707443,1.0,4.0,['Western'],0,Moderado,+34-912508256,https://mafrens.com/,http://www.instagram.com/thisismafrens,No facebook,"{'Monday': '10:00 - 17:00', 'Tuesday': '10:00 - 17:00', 'Wednesday': '10:00 - 17:00', 'Thursday': '10:00 - 17:00', 'Friday': '10:00 - 20:00', 'Saturday': '10:00 - 20:00', 'Sunday': '09:30 - 20:00'}",https://www.happycow.net/reviews/mafrens-madrid-406806
329,Livin' Japan,"Calle de la Torrecilla del Leal, 20, Madrid, Spain, 28012",40.410642,-3.699513,4.0,3.5,"['Japanese', 'Asian']",16,Moderado,+34-910530789,http://www.livinjapan.es/,No instagram,http://facebook.com/livinjapan,"{'Monday': '14:00 - 23:30', 'Tuesday': '14:00 - 23:30', 'Wednesday': 'Closed', 'Thursday': '14:00 - 23:30', 'Friday': '14:00 - 23:30', 'Saturday': '14:00 - 23:30', 'Sunday': '14:00 - 23:30'}",https://www.happycow.net/reviews/livin-japan-madrid-183426
330,Bioloco,"Paseo del Rey, 10, Madrid, Spain, 28008",40.421349,-3.718006,32.0,4.5,"['American', 'Spanish']",74,Moderado,+34-656853437,https://www.bioloco.es/,No instagram,No facebook,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '13:30 - 16:30, 19:30 - 23:00', 'Thursday': '13:30 - 16:30, 19:30 - 23:00', 'Friday': '13:30 - 16:30, 19:30 - 23:00', 'Saturday': '13:30 - 16:30, 19:30 - 23:00', 'Sunday': '13:30 - 16:30, 19:30 - 23:00'}",https://www.happycow.net/reviews/bioloco-madrid-228074
331,El Horno de Babette,"C. de Orellana, 16, Madrid, Spain, 28004",40.42599,-3.694208,2.0,4.0,[],1,No price range,+34-911419649,https://elhornodebabette.com/,http://www.instagram.com/elhornodebabette,http://facebook.com/100064687329533,"{'Monday': '09:30 - 20:00', 'Tuesday': '09:30 - 20:00', 'Wednesday': '09:30 - 20:00', 'Thursday': '09:30 - 20:00', 'Friday': '09:30 - 20:00', 'Saturday': '09:30 - 14:30', 'Sunday': '09:30 - 14:30'}",https://www.happycow.net/reviews/el-horno-de-babette-madrid-389272
332,Federal Cafe - Luchana ,"C. de Luchana, 7, Madrid, Spain, 28010",40.429733,-3.701335,1.0,4.0,"['International', 'Spanish']",0,No price range,No phone number,https://federalcafe.es/,http://www.instagram.com/thefederalcafe,http://facebook.com/federalcafeofficial,"{'Monday': '09:00 - 17:00', 'Tuesday': '09:00 - 17:00', 'Wednesday': '09:00 - 17:00', 'Thursday': '09:00 - 17:00', 'Friday': '09:00 - 22:00', 'Saturday': '09:00 - 22:00', 'Sunday': '09:00 - 17:00'}",https://www.happycow.net/reviews/federal-cafe-madrid-423552
333,Martina Cocina,"Plaza de Cascorro, 11, Madrid, Spain, 28005",40.409873,-3.707003,3.0,3.0,"['European', 'Spanish']",7,Barato,+34-910834380,http://www.martinacocina.es/,No instagram,http://facebook.com/martinacocina.es,"{'Monday': 'Closed', 'Tuesday': '09:00 - 00:00', 'Wednesday': '09:00 - 00:00', 'Thursday': '09:00 - 01:00', 'Friday': '09:00 - 01:00', 'Saturday': '10:00 - 01:00', 'Sunday': '10:00 - 23:00'}",https://www.happycow.net/reviews/martina-cocina-madrid-139111
334,Corral de la Moreria,"Calle de la Morería, 17, Madrid, Spain, 28005",40.412668,-3.714234,2.0,4.0,['Spanish'],5,Caro,+34-913651137,https://www.corraldelamoreria.com/,http://www.instagram.com/corralmoreria,http://facebook.com/corralmoreria,"{'Monday': '19:00 - 00:30', 'Tuesday': '19:00 - 00:30', 'Wednesday': '19:00 - 00:30', 'Thursday': '19:00 - 00:30', 'Friday': '19:00 - 00:30', 'Saturday': '19:00 - 00:30', 'Sunday': '19:00 - 00:30'}",https://www.happycow.net/reviews/corral-de-la-moreria-madrid-345456
335,La Huella Vegana - Sandoval ,"Calle Sandoval, 12,Madrid,Spain",40.430132,-3.704167,13,4.5,"['International', 'Western', 'Spanish']",37,Moderado,+34-912551433,https://www.lahuellavegana.com/,http://www.instagram.com/lahuellavegan,http://facebook.com/lahuellavegana,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '12:00 - 00:00', 'Thursday': '12:00 - 00:00', 'Friday': '12:00 - 00:00', 'Saturday': '12:00 - 00:00', 'Sunday': '12:00 - 00:00'}","https://www.happycow.net/reviews/la-huella-vegana-madrid-350606"
336,Falafeleria - Lavapiés,"C de Sta Isabel, 28, Madrid, Spain, 28012",40.410912,-3.698481,48.0,5.0,"['Mediterranean', 'Middle Eastern']",107,Barato,No phone number,https://www.falafeleria.es/,http://www.instagram.com/falafeleria_madrid,http://facebook.com/falafeleria,"{'Monday': '13:00 - 23:00', 'Tuesday': '13:00 - 23:00', 'Wednesday': '13:00 - 23:00', 'Thursday': '13:00 - 23:00', 'Friday': '13:00 - 23:30', 'Saturday': '13:00 - 23:30', 'Sunday': '13:00 - 23:00'}",https://www.happycow.net/reviews/falafeleria-madrid-255039
337,Vortex Coffee Society,"C. de Toledo, 81, Centro, Madrid, Spain, 28005",40.410172,-3.709154,1.0,5.0,['Spanish'],0,No price range,No phone number,No website,http://www.instagram.com/vortexcoffeesociety,No facebook,"{'Monday': '08:00 - 20:00', 'Tuesday': '08:00 - 20:00', 'Wednesday': '08:00 - 20:00', 'Thursday': '08:00 - 20:00', 'Friday': '08:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'}",https://www.happycow.net/reviews/vortex-coffee-society-madrid-408659
338,UMAMI BAKE AWAY,"C. de Moratín, 39, Centro, Madrid, Spain, 28014",40.412691,-3.695231,1.0,4.0,[],0,No price range,+34-642110427,https://www.umamispecialtycoffee.com/,http://www.instagram.com/umami_specialtycoffee,http://facebook.com/100063767730094,"{'Monday': '07:30 - 20:30', 'Tuesday': '07:30 - 20:30', 'Wednesday': '07:30 - 20:30', 'Thursday': '07:30 - 20:30', 'Friday': '07:30 - 20:30', 'Saturday': '08:30 - 20:30', 'Sunday': '08:30 - 20:30'}",https://www.happycow.net/reviews/umami-bake-away-madrid-426188
339,Golda,"19 C de Orellana, Madrid, Spain, 28004",40.426014,-3.693924,1.0,4.0,"['Mediterranean', 'Middle Eastern']",9,Moderado,+34-910691070,https://goldacafe.com/,http://www.instagram.com/goldamadrid,No facebook,"{'Monday': '07:00 - 16:00', 'Tuesday': '07:00 - 16:00', 'Wednesday': '07:00 - 16:00', 'Thursday': '07:00 - 16:00', 'Friday': '07:00 - 17:00', 'Saturday': '08:00 - 17:00', 'Sunday': '08:00 - 17:00'}",https://www.happycow.net/reviews/golda-madrid-275159
340,Lopez and Lopez,"Calle de Cabestreros, 2, Madrid, Spain, 28012",40.409545,-3.704086,14.0,4.0,"['International', 'Italian']",23,Moderado,+34-910299926,https://www.lopezylopezpizzeria.es/,http://www.instagram.com/lopezylopezpizzeria,http://facebook.com/LopezLopezPizzeria,"{'Monday': '13:30 - 17:00, 20:00 - 00:30', 'Tuesday': '13:30 - 17:00, 20:00 - 00:30', 'Wednesday': '13:30 - 17:00, 20:00 - 00:30', 'Thursday': '13:30 - 17:00, 20:00 - 00:30', 'Friday': '13:30 - 17:00, 20:00 - 01:30', 'Saturday': '13:30 - 17:30, 20:00 - 01:30', 'Sunday': '13:30 - 17:30, 20:00 - 00:30'}",https://www.happycow.net/reviews/lopez-and-lopez-madrid-105691
341,Osom,"Calle moratin 38,Madrid,Spain",40.412382,-3.695300,15,3.5,"['American', 'Western']",16,Moderado,+34-626355268,https://www.somososom.com/,http://www.instagram.com/somososom,No facebook,"{'Monday': '08:00 - 20:00', 'Tuesday': '08:00 - 20:00', 'Wednesday': '08:00 - 20:00', 'Thursday': '08:00 - 20:00', 'Friday': '08:00 - 20:00', 'Saturday': '08:00 - 20:00', 'Sunday': '08:00 - 20:00'}","https://www.happycow.net/reviews/osom-madrid-339383"
342,La Chispera,"Calle de Santa Ana, 13, Madrid, Spain, 28005",40.409732,-3.70838,3.0,3.0,"['Italian', 'Mexican', 'Spanish']",14,Barato,+34-696942912,http://la-chispera.negocio.site/,No instagram,http://facebook.com/Lachisperamadrid-126106234742927,"{'Monday': 'Closed', 'Tuesday': '18:00 - 00:00', 'Wednesday': '18:00 - 00:00', 'Thursday': '18:00 - 00:00', 'Friday': '18:00 - 02:00', 'Saturday': '12:30 - 02:00', 'Sunday': '12:30 - 02:00'}",https://www.happycow.net/reviews/la-chispera-madrid-207663
343,Anarkoli,"Calle de Lavapies, 46, Madrid, Spain, 28012",40.409563,-3.702283,1.0,3.0,['Indian'],2,Moderado,+34-915301476,https://www.anarkolilavapies.com/,http://www.instagram.com/anarkoli_restaurant,http://facebook.com/Anarkoli-124656580930783,"{'Monday': '12:00 - 00:00', 'Tuesday': '12:00 - 00:00', 'Wednesday': '12:00 - 00:00', 'Thursday': '12:00 - 00:00', 'Friday': '12:00 - 00:00', 'Saturday': '12:00 - 01:30', 'Sunday': '12:00 - 01:30'}",https://www.happycow.net/reviews/anarkoli-madrid-292436
344,Pasta Balboa,"Calle Del Cardenal Cisneros 10, Madrid, Spain, 28010",40.430186,-3.701583,2.0,4.0,['Italian'],6,Barato,+34-912405610,https://pastabalboa.com/,http://www.instagram.com/pastabalboa,http://facebook.com/pastabalboa,"{'Monday': '13:00 - 17:00, 20:00 - 00:00', 'Tuesday': '13:00 - 17:00, 20:00 - 00:00', 'Wednesday': '13:00 - 17:00, 20:00 - 00:00', 'Thursday': '13:00 - 17:00, 20:00 - 00:00', 'Friday': '13:00 - 17:00, 20:00 - 00:00', 'Saturday': '13:00 - 17:00, 20:00 - 00:00', 'Sunday': '13:00 - 17:00, 20:00 - 00:00'}",https://www.happycow.net/reviews/pasta-balboa-madrid-343078
345,Restaurante Mandela 100,"52 Calle del Mesón de Paredes, Madrid, Spain, 28012",40.409363,-3.703872,0.0,0.0,['African'],0,Moderado,+34-632158549,No website,http://www.instagram.com/restaurantemandela100,http://facebook.com/RestauranteMandela100,"{'Monday': '11:00 - 01:00', 'Tuesday': '11:00 - 01:00', 'Wednesday': '11:00 - 01:00', 'Thursday': '11:00 - 01:00', 'Friday': '11:00 - 01:00', 'Saturday': '11:00 - 01:00', 'Sunday': '11:00 - 01:00'}",https://www.happycow.net/reviews/restaurante-mandela-100-madrid-323806
346,La Inquilina,"Calle del Ave María  39,Madrid,Spain",40.409675,-3.700892,5,4.0,['Spanish'],9,Moderado,+34-910558176,No website,No instagram,http://facebook.com/La%20Inquilina,{'Horario': 'No hay horario'},"https://www.happycow.net/reviews/la-inquilina-madrid-89435"
347,Le Pain Quotidien - Genova,"Calle de Génova, 5, Madrid, Spain, 28004",40.427365,-3.694809,1.0,3.0,"['Mediterranean', 'European']",2,Moderado,+34-919551236,"https://www.lepainquotidien.com/es/en/locations/Genova/Calle-de-G%C3%A9nova,-5",No instagram,http://facebook.com/lepainquotidienes,"{'Monday': '08:00 - 22:00', 'Tuesday': '08:00 - 22:00', 'Wednesday': '08:00 - 22:00', 'Thursday': '08:00 - 22:00', 'Friday': '08:00 - 22:00', 'Saturday': '09:00 - 22:00', 'Sunday': '09:00 - 22:00'}",https://www.happycow.net/reviews/le-pain-quotidien-madrid-190848
348,Encuentros Cafe,"Calle de Embajadores, 26, Madrid, Spain, 28012",40.40922,-3.705752,1.0,4.0,"['Fusion', 'Spanish']",3,Barato,+34-631772488,No website,No instagram,http://facebook.com/csencuentros,"{'Monday': 'Closed', 'Tuesday': '18:00 - 00:00', 'Wednesday': '18:00 - 00:00', 'Thursday': '18:00 - 02:00', 'Friday': '18:00 - 02:00', 'Saturday': '18:00 - 02:00', 'Sunday': '13:00 - 23:00'}",https://www.happycow.net/reviews/encuentros-cafe-madrid-149927
349,Clan Tequila,"1 Calle de Palafox, Madrid, Spain, 28010",40.430341,-3.700978,5.0,3.5,['Mexican'],6,Barato,+34-602459037,http://clantequilatacobar.eatbu.com/,No instagram,No facebook,"{'Monday': 'Closed', 'Tuesday': '14:00 - 00:00', 'Wednesday': '14:00 - 00:00', 'Thursday': '14:00 - 00:00', 'Friday': '14:00 - 00:00', 'Saturday': '14:00 - 00:00', 'Sunday': '14:00 - 00:00'}",https://www.happycow.net/reviews/clan-tequila-madrid-322705
350,La Platería,"Calle de Moratín, 49 c/v, C. de las Huertas, 82, Madrid, Spain, 28014",40.412723,-3.69426,1.0,4.0,"['Mediterranean', 'Spanish']",4,Moderado,+34-914291722,http://laplateria.org.es/,No instagram,No facebook,"{'Monday': '08:00 - 01:00', 'Tuesday': '08:00 - 01:00', 'Wednesday': '08:00 - 01:00', 'Thursday': '08:00 - 01:00', 'Friday': '08:00 - 02:00', 'Saturday': '09:00 - 02:00', 'Sunday': '09:00 - 01:00'}",https://www.happycow.net/reviews/la-plateria-madrid-405808
